connector,conectorChannel,stripNb,axis,pitch(mm),interpitch(mm),neighbours(:separated),xGerber,yGerber
1,22,86,y,1.5,1.12,21:23,-16.8125,-13.55
1,23,87,y,1.5,1.12,22:24,-15.3125,-13.55
1,24,88,y,1.5,1.12,23:25,-13.8125,-13.55
1,25,89,y,1.5,1.12,24:26,-12.3125,-13.55
1,26,90,y,1.5,1.12,25:27,-10.8125,-13.55
1,27,91,y,1.5,1.12,26:28,-9.3125,-13.55
1,28,92,y,1.5,1.12,27:29,-7.8125,-13.55
1,29,93,y,1.5,1.12,28:30,-6.3125,-13.55
1,30,94,y,1.5,1.12,29:31,-4.8125,-13.55
1,31,95,y,1.5,1.12,30,-3.3125,-13.55
1,32,96,y,0.5,0.37,33,-1.9375,-13.55
1,33,97,y,0.5,0.37,32:34,-1.4375,-13.55
1,34,98,y,0.5,0.37,33:35,-0.9375,-13.55
1,35,99,y,0.5,0.37,34:36,-0.4375,-13.55
1,36,100,y,0.5,0.37,35:37,0.0625,-13.55
1,37,101,y,0.5,0.37,36:38,0.5625,-13.55
1,38,102,y,0.5,0.37,37:39,1.0625,-13.55
1,39,103,y,0.5,0.37,38:40,1.5625,-13.55
1,40,104,y,0.5,0.37,39:41,2.0625,-13.55
1,41,105,y,0.5,0.37,40:42,2.5625,-13.55
1,42,106,y,0.5,0.37,41:43,3.0625,-13.55
1,43,107,y,0.5,0.37,42:44,3.5625,-13.55
1,44,108,y,0.5,0.37,43:45,4.0625,-13.55
1,45,109,y,0.5,0.37,44:46,4.5625,-13.55
1,46,110,y,0.5,0.37,45:47,5.0625,-13.55
1,47,111,y,0.5,0.37,46:48,5.5625,-13.55
1,48,112,y,0.5,0.37,47:49,6.0625,-13.55
1,49,113,y,0.5,0.37,48:50,6.5625,-13.55
1,50,114,y,0.5,0.37,49:51,7.0625,-13.55
1,51,115,y,0.5,0.37,50:52,7.5625,-13.55
1,52,116,y,0.5,0.37,51:53,8.0625,-13.55
1,53,117,y,0.5,0.37,52:54,8.5625,-13.55
1,54,118,y,0.5,0.37,53:55,9.0625,-13.55
1,55,119,y,0.5,0.37,54:56,9.5625,-13.55
1,56,120,y,0.5,0.37,55:57,10.0625,-13.55
1,57,121,y,0.5,0.37,56:58,10.5625,-13.55
1,58,122,y,0.5,0.37,57:59,11.0625,-13.55
1,59,123,y,0.5,0.37,58:60,11.5625,-13.55
1,60,124,y,0.5,0.37,59:61,12.0625,-13.55
1,61,125,y,0.5,0.37,60:62,12.5625,-13.55
1,62,126,y,0.5,0.37,61:63,13.0625,-13.55
1,63,127,y,0.5,0.37,62,13.5625,-13.55
2,0,0,x,1,0.1,1,-113.875,-13.55
2,1,1,x,1,0.1,0:2,-113.875,-12.55
2,2,2,x,1,0.1,1:3,-113.875,-11.55
2,3,3,x,1,0.1,2:4,-113.875,-10.55
2,4,4,x,1,0.1,3:5,-113.875,-9.55
2,5,5,x,1,0.1,4:6,-113.875,-8.55
2,6,6,x,1,0.1,5:7,-113.875,-7.55
2,7,7,x,1,0.1,6:8,-113.875,-6.55
2,8,8,x,1,0.1,7:9,-113.875,-5.55
2,9,9,x,1,0.1,8:10,-113.875,-4.55
