connector,conectorChannel,stripNb,axis,pitch(mm),interpitch(mm),neighbours(:separated),xGerber,yGerber
1,46,46,x,1,0,45:47,-98.065,16.319
1,47,47,x,1,0,46:48,-98.065,17.319
1,48,48,x,1,0,47:49,-98.065,18.319
1,49,49,x,1,0,48:50,-98.065,19.319
1,50,50,x,1,0,49:51,-98.065,20.319
1,51,51,x,1,0,50:52,-98.065,21.319
1,52,52,x,1,0,51:53,-98.065,22.319
1,53,53,x,1,0,52:54,-98.065,23.319
1,54,54,x,1,0,53:55,-98.065,24.319
1,55,55,x,1,0,54:56,-98.065,25.319
1,56,56,x,1,0,55:57,-98.065,26.319
1,57,57,x,1,0,56:58,-98.065,27.319
1,58,58,x,1,0,57:59,-98.065,28.319
1,59,59,x,1,0,58:60,-98.065,29.319
1,60,60,x,1,0,59:61,-98.065,30.319
1,61,61,x,1,0,60:62,-98.065,31.319
1,62,62,x,1,0,61:63,-98.065,32.319
1,63,63,x,1,0,62,-98.065,33.319
2,0,64,x,0.8,0,1,-30.65,5.45
2,1,65,x,0.8,0,0:2,-30.65,6.25
2,2,66,x,0.8,0,1:3,-30.65,7.05
2,3,67,x,0.8,0,2:4,-30.65,7.85
2,4,68,x,0.8,0,3:5,-30.65,8.65
2,5,69,x,0.8,0,4:6,-30.65,9.45
2,6,70,x,0.8,0,5:7,-30.65,10.25
2,7,71,x,0.8,0,6:8,-30.65,11.05
2,8,72,x,0.8,0,7:9,-30.65,11.85
2,9,73,x,0.8,0,8:10,-30.65,12.65
2,10,74,x,0.8,0,9:11,-30.65,13.45
2,11,75,x,0.8,0,10:12,-30.65,14.25
2,12,76,x,0.8,0,11:13,-30.65,15.05
2,13,77,x,0.8,0,12:14,-30.65,15.85
2,14,78,x,0.8,0,13:15,-30.65,16.65
2,15,79,x,0.8,0,14:16,-30.65,17.45
2,16,80,x,0.8,0,15:17,-30.65,18.25
2,17,81,x,0.8,0,16:18,-30.65,19.05
2,18,82,x,0.8,0,17:19,-30.65,19.85
2,19,83,x,0.8,0,18:20,-30.65,20.65
2,20,84,x,0.8,0,19:21,-30.65,21.45
2,21,85,x,0.8,0,20:22,-30.65,22.25
2,22,86,x,0.8,0,21:23,-30.65,23.05
2,23,87,x,0.8,0,22:24,-30.65,23.85
2,24,88,x,0.8,0,23:25,-30.65,24.65
2,25,89,x,0.8,0,24:26,-30.65,25.45
2,26,90,x,0.8,0,25:27,-30.65,26.25
2,27,91,x,0.8,0,26:28,-30.65,27.05
2,28,92,x,0.8,0,27:29,-30.65,27.85
2,29,93,x,0.8,0,28:30,-30.65,28.65
2,30,94,x,0.8,0,29:31,-30.65,29.45
2,31,95,x,0.8,0,30,-30.65,30.25
2,32,95,y,0.8,0,33,-5.45,5.851
2,33,94,y,0.8,0,32:34,-6.25,5.851
